4K,#genre# 
芒果TV4K,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226887/index.m3u8
欢笑剧场4K,http://39.134.39.38/PLTV/88888888/224/3221226203/index.m3u8
广东综艺4K,http://111.161.121.214/nclive.grtn.cn/4K/sd/live.m3u8
广东综艺4K,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzy
纯享4K,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/index.m3u8
美丽中国4K,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/9891cea600df4e8a83851b1b1ce23194/8000.m3u8
精彩电影4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8
BesTV4K,http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8
CCTV4K,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8
4K音乐现场,http://jxgz.jilu8.cn/PLTV/88888888/224/3221225978/2/index.m3u8?fmt=ts2hls
爱上4K,http://39.134.24.220/PLTV/88888888/224/3221226005/index.m3u8
CCTV4K,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8
4K电影,http://122.97.211.219:8114/FvSeid=59c0f7255fb3c888&Fsv_filetype=1&Fsv_ctype=LIVE&Fsv_cid=11684&Fsv_otype=0&Provider_id=&Pcontent_id=

央视,#genre# 
CCTV-1,http://111.12.102.68:6610/PLTV/77777777/224/3221225674/index.m3u8?#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226346/1.m3u8#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-1/index.m3u8?IAS#http://stream4.jlntv.cn/cctv1/sd/live.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226226/1.m3u8#http://scgctvshow.sctv.com/hdlive/cctv1/1.m3u8#http://117.148.187.58/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229818/index.m3u8#http://117.148.187.45/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230713/01.m3u8?fmt=ts2hls#http://luotuo.ycchenrong.cn/dl/woniu.php?id=10000001#http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/8380729188125675257/1.m3u8?stbId=005301FF001589101611549359B92C46&channel-id=shvoolive&Contentid=8380729188125675257&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=8380729188125675257&owchid=shvoolive&owsid=9810361579531242552&AuthInfo=2TOfGIahP4HrGWrHbpJXVOhAZZf%2B%2BRvFCOimr7PCGr9K%2B8TGA2jGwhx%2FP%2B9zbDc6lyCFd7nUPkjV5yhX4M591q%2Bjz%2FVPZBSXzMBonFGRPep2MwYhKpmBifYKbDBIkjbE#http://180.97.74.131/cache.ott.ystenlive.itv.cmvideo.cn/000000001000/1000000001000018602/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000018602&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000018602&owchid=ystenlive&owsid=7247581588474873305&AuthInfo=DBUICDpaEDC3E4Yk9rB5JhE2OEcgHj4j4Lu3NMN0BqOuzX95w2feBSSObbZ8fTDTjS9MIYgHF7/uqRrWanI9JRM+RdogEDypKnra2p/7XlpeEwxOHlGEi+RFk+fVN0AZ#http://221.180.248.131/cache.ott.ystenlive.itv.cmvideo.cn/000000001000/1000000001000018602/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000018602&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000018602&owchid=ystenlive&owsid=7247581588474873305&AuthInfo=DBUICDpaEDC3E4Yk9rB5JhE2OEcgHj4j4Lu3NMN0BqOuzX95w2feBSSObbZ8fTDTjS9MIYgHF7/uqRrWanI9JRM+RdogEDypKnra2p/7XlpeEwxOHlGEi+RFk+fVN0AZ#http://27.124.3.48/28609001/jiegectx.php?id=200#p2p://107.148.223.220:48918/5fc15d030007fe95517de53c507ab7b1#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225829/index.m3u8#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227014/index.m3u8#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8
